t,Velocity
0.0,6.205728000000001
1.0,6.976872
2.0,7.598664
3.0,6.8580000000000005
4.0,6.638544
5.0,6.096
6.0,5.964936000000001
7.0,6.092952
8.0,6.132576
9.0,6.8580000000000005
10.0,6.986016000000001
11.0,8.129016000000002
12.0,8.113776000000001
13.0,7.4676
14.0,7.1170800000000005
15.0,7.616951999999999
16.0,7.616951999999999
17.0,7.595616000000001
18.0,6.467856
19.0,6.096
20.0,6.047232
21.0,6.858000170047515
22.0,7.6291439563980745
23.0,6.8519040087203855
24.0,6.702551908435953
25.0,6.096
26.0,6.05637586919422
27.0,6.092952
28.0,6.083808069763084
29.0,6.8580000000000005
30.0,6.876288156966937
31.0,8.129016000000002
32.0,8.031480117725202
33.0,7.4676
34.0,7.251191808151521
35.0,7.623047991279615
36.0,7.616951999999999
37.0,7.626095956398074
38.0,6.736079616303044
39.0,6.096
40.0,6.095999930236917
41.0,6.092952
42.0,6.504432497061967
43.0,7.525511760189403
44.0,6.425184152606744
45.0,6.096
46.0,6.096
47.0,5.934456
48.0,6.126480187488287
49.0,7.62
50.0,7.610856056682505
51.0,7.507223933143556
52.0,6.86409598546599
53.0,6.577583957851372
54.0,6.096
55.0,5.900928
56.0,6.092952
57.0,6.251448085750657
58.0,6.742175872100717
59.0,7.199376139526493
60.0,8.132064002906802
61.0,8.089391941863962
62.0,7.4676
63.0,7.046976004360204
64.0,7.616951999999999
65.0,7.616951999999999
66.0,7.5041759345969385
67.0,6.248399940410543
68.0,6.095999998546599
69.0,5.931407962211564
70.0,6.092952
71.0,7.202424120632315
72.0,7.117079888088093
73.0,6.568439966571769
74.0,6.096
75.0,6.096
76.0,5.989320034881634
77.0,6.513576164234357
78.0,7.62
79.0,7.51027206685636
80.0,7.184136087203824
81.0,6.766560031974736
82.0,6.348984066856264
83.0,6.096
84.0,5.964935969478662
85.0,6.092952
86.0,6.626351906982588
87.0,6.281928091564015
88.0,7.781543861927281
89.0,8.113776011627177
90.0,7.796784081390235
91.0,7.4676
92.0,7.147559956398089
93.0,7.616951999999999
94.0,7.619999998546603
95.0,7.223760068309662
96.0,6.083808018894162
97.0,6.092952
98.0,5.8521600000000005
99.0,6.092952
100.0,7.5864719375039265
101.0,6.717792078483441
102.0,6.361176065402868
103.0,6.096
104.0,6.096
105.0,6.095999984012632
106.0,7.202423835766132
107.0,7.62
108.0,7.629143960758273
109.0,6.858000187488258
110.0,6.650736047962113
111.0,6.117336130805762
112.0,6.096
113.0,6.0929519433175034
114.0,6.092952
115.0,6.842759895355391
116.0,6.467855729668093
117.0,8.104631843033086
118.0,7.888224196208642
119.0,7.5163681656872985
120.0,7.4676
