t,Position,v_Vel,v_Acc
0.000000,-28.795675,11.667744,0.213360
0.100000,-27.899258,11.618976,-1.103376
0.200000,-27.028750,11.448288,-2.526792
0.300000,-26.179577,11.180064,-2.935224
0.400000,-25.348997,10.924032,-2.365248
0.500000,-24.547678,10.750296,-1.228344
0.600000,-23.749102,10.668000,-0.234696
0.700000,-22.941382,10.655808,0.124968
0.800000,-22.135795,10.671048,0.131064
0.900000,-21.329904,10.677144,0.012192
1.000000,-20.524318,10.646664,-0.490728
1.100000,-19.711721,10.552176,-1.322832
1.200000,-18.920155,10.387584,-2.109216
1.300000,-18.142915,10.158984,-2.511552
1.400000,-17.383658,9.906000,-2.572512
1.500000,-16.646957,9.653016,-2.514600
1.600000,-15.927629,9.424416,-2.106168
1.700000,-15.223236,9.262872,-1.240536
1.800000,-14.539265,9.183624,-0.329184
1.900000,-13.848893,9.144000,-0.207264
2.000000,-13.151510,9.067800,-1.136904
2.100000,-12.474854,8.918448,-2.033016
2.200000,-11.812829,8.830056,-0.338328
2.300000,-11.166653,9.043416,3.413760
2.400000,-10.510418,9.619488,3.413760
2.500000,-9.732874,10.357104,3.413760
2.600000,-8.902903,10.866120,2.883408
2.700000,-8.042148,10.811256,-3.413760
2.800000,-7.220102,10.213848,-3.413760
2.900000,-6.461760,9.421368,-3.413760
3.000000,-5.827166,8.787384,-3.413760
3.100000,-5.188306,8.494776,-0.701040
3.200000,-4.561027,8.485632,0.905256
3.300000,-3.915766,8.522208,0.170688
3.400000,-3.253130,8.458200,-1.338072
3.500000,-2.621890,8.266176,-2.755392
3.600000,-2.005889,8.001000,-2.822448
3.700000,-1.411529,7.775448,-1.795272
3.800000,-0.842772,7.644384,-0.713232
3.900000,-0.267310,7.601712,0.000000
4.000000,0.308153,7.653528,0.826008
4.100000,0.876910,7.839456,2.648712
4.200000,1.471270,8.244840,3.413760
4.300000,2.101596,8.906256,3.413760
4.400000,2.790444,9.750552,3.413760
4.500000,3.551530,10.671048,3.413760
4.600000,4.376928,11.530584,3.413760
4.700000,5.251094,12.127992,3.413760
4.800000,6.169762,12.259056,-1.426464
4.900000,7.079894,11.841480,-3.413760
5.000000,7.932420,11.003280,-3.413760
5.100000,8.719109,9.966960,-3.413760
5.200000,9.438742,8.973312,-3.413760
5.300000,10.090099,8.205216,-3.413760
5.400000,10.676230,7.717536,-3.191256
5.500000,11.261446,7.504176,-0.594360
5.600000,11.846966,7.470648,0.121920
5.700000,12.432487,7.476744,0.000000
5.800000,13.017703,7.476744,0.000000
5.900000,13.603224,7.476744,-0.021336
6.000000,14.189964,7.473696,0.000000
6.100000,14.773351,7.485888,0.182880
6.200000,15.351252,7.510272,0.335280
6.300000,15.929762,7.516368,-0.076200
6.400000,16.522294,7.461504,-0.932688
6.500000,17.105681,7.348728,-1.496568
6.600000,17.672304,7.223760,-1.194816
6.700000,18.228259,7.138416,-0.493776
6.800000,18.781776,7.077456,-0.475488
6.900000,19.341998,6.986016,-1.243584
7.000000,19.888810,6.824472,-2.093976
7.100000,20.413675,6.601968,-2.465832
7.200000,20.920253,6.376416,-2.127504
7.300000,21.412200,6.208776,-1.325880
7.400000,21.882202,6.123432,-0.393192
7.500000,22.359214,6.089904,-0.073152
7.600000,22.836226,6.016752,-1.094232
7.700000,23.318724,5.827776,-2.670048
7.800000,23.762818,5.538216,-3.413760
7.900000,24.182222,5.254752,-2.493264
8.000000,24.581815,5.132832,-0.124968
8.100000,24.937822,5.193792,1.648968
8.200000,25.317298,5.343144,1.783080
8.300000,25.715366,5.471160,0.771144
8.400000,26.106730,5.516880,-0.064008
8.500000,26.498093,5.516880,-0.012192
8.600000,26.889456,5.504688,-0.109728
8.700000,27.280819,5.391912,-1.770888
8.800000,27.678583,5.093208,-3.413760
8.900000,28.036114,4.639056,-3.413760
9.000000,28.360116,4.105656,-3.413760
9.100000,28.650895,3.624072,-3.413760
9.200000,28.904794,3.294888,-2.642616
9.300000,29.132174,3.105912,-1.106424
9.400000,29.372966,3.035808,0.009144
9.500000,29.611320,3.041904,0.118872
9.600000,29.849978,3.054096,0.070104
9.700000,30.088332,3.054096,0.015240
9.800000,30.326990,3.023616,-0.521208
9.900000,30.572354,2.929128,-1.359408
10.000000,30.795773,2.788920,-1.645920
10.100000,31.006390,2.682240,-0.752856
10.200000,31.197499,2.657856,0.371856
10.300000,31.406897,2.676144,0.374904
10.400000,31.631839,2.645664,-0.822960
10.500000,31.839408,2.538984,-1.636776
10.600000,32.032651,2.435352,-0.816864
10.700000,32.198462,2.404872,0.381000
10.800000,32.390182,2.404872,0.121920
10.900000,32.599579,2.313432,-1.767840
11.000000,32.772706,2.054352,-3.413760
11.100000,32.922362,1.700784,-3.413760
11.200000,33.049159,1.441704,-1.780032
11.300000,33.133894,1.386840,0.740664
11.400000,33.242098,1.502664,2.066544
11.500000,33.364322,1.673352,1.594104
11.600000,33.502397,1.783080,0.505968
